Affoltern;1580
Albisrieden;1458
Altstetten;1754
Alt-Wiedikon;970
City;28
Enge;611
Escher Wyss;369
Fluntern;476
Friesenberg;624
Gewerbeschule;346
Hard;534
Hirslanden;350
Hirzenbach;851
Hochschulen;15
Höngg;1386
Hottingen;573
Langstrasse;367
Leimbach;382
Lindenhof;22
Mühlebach;291
Oberstrass;459
Oerlikon;1146
Rathaus;97
Saatlen;577
Schwamendingen-Mitte;542
Seebach;1493
Seefeld;228
Sihlfeld;1136
Unterstrass;1343
Weinegg;228
Werd;226
Wipkingen;927
Witikon;540
Wollishofen;1292
